id;contract_id;pay_down_principal_date;pay_down_principal_amount;payer_name;user_create;note
1;65695;2022-04-15T19:06:59;49346;Integrated generate Generic;XML Forward;West
2;98147;2022-04-16T01:31:11;59583;Iowa Chips;optical iterate;disintermediate directional Games
3;94903;2022-04-16T11:38:48;22418;e-business;Monitored;Interactions Colorado Money
4;75780;2022-04-16T05:05:19;23987;networks paradigms;Islands,;CSS extranet Fundamental
5;96741;2022-04-15T18:39:15;47187;XML;Lakes;Car Direct
6;24981;2022-04-16T04:48:36;3801;Intranet neural generate;evolve withdrawal Soft;Developer Technician
7;64491;2022-04-15T23:36:48;66150;hard Portugal;harness parsing;Optimization Liaison
8;12701;2022-04-15T23:41:35;92570;Soft;Burkina;Rubber
9;86235;2022-04-16T01:14:40;88851;Handmade;Bike;Light Fantastic
10;79548;2022-04-16T14:03:59;95043;Guyana XML virtual;Implementation;Pass bandwidth-monitored challenge
